YYYY,MM,DD,HH24,MI format in Local standard time,Air Temperature in degrees C,Relative humidity in percentage %,Wind speed in km/h
2018,1,1,0,30,14.5,87,8
2018,1,1,1,0,14,89,0
2018,1,1,1,30,14.9,89,5
2018,1,1,2,0,14.8,90,8
2018,1,1,2,30,15.1,91,8
2018,1,1,3,0,15.2,89,0
2018,1,1,3,30,15.5,87,0
2018,1,1,4,0,15.6,86,0
2018,1,1,4,30,15.7,87,2
2018,1,1,5,0,15.7,80,13
2018,1,1,5,30,15.5,78,15
2018,1,1,6,0,15.6,76,13
2018,1,1,6,30,16,72,13
2018,1,1,7,0,16.6,69,17
2018,1,1,7,30,17.1,63,17
2018,1,1,8,0,17.3,60,11
2018,1,1,8,30,18.4,56,18
2018,1,1,9,0,18.6,54,13
2018,1,1,9,30,19.9,52,13
2018,1,1,10,0,20.1,49,11
2018,1,1,10,30,21.1,46,9
2018,1,1,11,0,22.1,41,11
2018,1,1,11,30,22.8,42,8
2018,1,1,12,0,23.5,39,13
2018,1,1,12,30,23.7,42,15
2018,1,1,13,0,24,43,17
2018,1,1,13,30,24.6,42,17
2018,1,1,14,0,25.2,38,13
2018,1,1,14,30,24.6,36,11
2018,1,1,15,0,25.5,37,18
2018,1,1,15,30,25.3,36,21
2018,1,1,16,0,24.5,41,30
2018,1,1,16,30,22.9,45,31
2018,1,1,17,0,22,51,28
2018,1,1,17,30,20.8,60,30
2018,1,1,18,0,20,65,31
2018,1,1,18,30,19.6,64,24
2018,1,1,19,0,18.8,67,26
2018,1,1,19,30,17.9,71,24
2018,1,1,20,0,17.4,73,26
2018,1,1,20,30,17,77,26
2018,1,1,21,0,16.9,77,24
2018,1,1,21,30,17.2,76,24
2018,1,1,22,0,17.2,75,22
2018,1,1,22,30,17,75,21
2018,1,1,23,0,17,74,21
2018,1,1,23,30,16.9,77,18
2018,1,2,0,0,16.9,76,17
2018,1,2,0,30,16.8,76,13
2018,1,2,1,0,16.8,75,17
2018,1,2,1,30,16.3,79,18
2018,1,2,2,0,15.6,87,15
2018,1,2,2,30,15.6,86,13
2018,1,2,3,0,16,83,13
2018,1,2,3,30,16.3,72,11
2018,1,2,4,0,16.4,70,13
2018,1,2,4,30,16.3,69,13
2018,1,2,5,0,16.2,65,11
2018,1,2,5,30,16.1,68,13
2018,1,2,6,0,16.2,68,11
2018,1,2,6,30,16.2,69,13
2018,1,2,7,0,16.9,66,13
2018,1,2,7,30,17.5,62,13
2018,1,2,8,0,17.2,64,13
2018,1,2,8,30,18.2,58,15
2018,1,2,9,0,18.4,55,15
2018,1,2,9,30,18.9,48,17
2018,1,2,10,0,19.4,47,13
2018,1,2,10,30,19.8,46,15
2018,1,2,11,0,20.3,45,15
2018,1,2,11,30,20.9,43,22
2018,1,2,12,0,20.8,40,24
2018,1,2,12,30,21.6,44,28
2018,1,2,13,0,21.3,45,22
2018,1,2,13,30,22.5,37,24
2018,1,2,14,0,21.7,43,21
2018,1,2,14,30,20.7,56,31
2018,1,2,15,0,20.4,59,30
2018,1,2,15,30,19.7,59,28
2018,1,2,16,0,19.4,59,26
2018,1,2,16,30,20.8,55,26
2018,1,2,17,0,18.8,64,26
2018,1,2,17,30,18.6,61,31
2018,1,2,18,0,18,64,31
2018,1,2,18,30,17.7,64,30
2018,1,2,19,0,17,67,30
2018,1,2,19,30,16.7,68,31
2018,1,2,20,0,16.9,68,24
2018,1,2,20,30,16.9,71,22
2018,1,2,21,0,16.6,71,22
2018,1,2,21,30,16.6,64,18
2018,1,2,22,0,16.4,55,21
2018,1,2,22,30,15.7,61,24
2018,1,2,23,0,15.3,64,18
2018,1,2,23,30,14.5,68,15
2018,1,3,0,0,14.3,69,21
2018,1,3,0,30,14.1,70,21
2018,1,3,1,0,13.7,73,18
2018,1,3,1,30,13,79,17
