SETTLEMENTDATE,TOTALDEMAND,TRADEPRICE
1/1/2018 0:30,4251.18,92.46
1/1/2018 1:00,4092.53,87.62
1/1/2018 1:30,3958.95,73.08
1/1/2018 2:00,3785.27,70.18
1/1/2018 2:30,3673.72,67.43
1/1/2018 3:00,3574.67,66.31
1/1/2018 3:30,3522.81,67.72
1/1/2018 4:00,3524.25,65.5
1/1/2018 4:30,3534.15,64.5
1/1/2018 5:00,3543.68,65.41
1/1/2018 5:30,3545.49,63.66
1/1/2018 6:00,3544.99,59.9
1/1/2018 6:30,3577.63,64.67
1/1/2018 7:00,3629.71,66.89
1/1/2018 7:30,3607.71,67.06
1/1/2018 8:00,3665.63,67.49
1/1/2018 8:30,3706.94,67.12
1/1/2018 9:00,3723.28,67.47
1/1/2018 9:30,3747.4,71.02
1/1/2018 10:00,3731.08,71.08
1/1/2018 10:30,3750.72,71.13
1/1/2018 11:00,3723.72,74.86
1/1/2018 11:30,3727.65,72.45
1/1/2018 12:00,3725.76,66.51
1/1/2018 12:30,3727.86,64.77
1/1/2018 13:00,3757.85,70.02
1/1/2018 13:30,3804.46,76.04
1/1/2018 14:00,3891.34,76.8
1/1/2018 14:30,3969.98,76.77
1/1/2018 15:00,4110.34,73.21
1/1/2018 15:30,4267,78.59
1/1/2018 16:00,4416.92,85.27
1/1/2018 16:30,4567.06,80.8
1/1/2018 17:00,4691.2,81.76
1/1/2018 17:30,4749.61,75.14
1/1/2018 18:00,4738.66,73.45
1/1/2018 18:30,4683.09,68.77
1/1/2018 19:00,4581.3,70.64
1/1/2018 19:30,4470.9,67.8
1/1/2018 20:00,4417.32,73.9
1/1/2018 20:30,4425.39,77.97
1/1/2018 21:00,4336.32,70.04
1/1/2018 21:30,4246.05,71.25
1/1/2018 22:00,4162.82,66.06
1/1/2018 22:30,4119.1,64.77
1/1/2018 23:00,4123.35,61.09
1/1/2018 23:30,4347.46,63.55
2/1/2018 0:00,4337.37,60.31
2/1/2018 0:30,4117.91,57.33
2/1/2018 1:00,3979.25,56.32
2/1/2018 1:30,3896.52,51.96
2/1/2018 2:00,3785.48,53.57
2/1/2018 2:30,3686.92,52.5
2/1/2018 3:00,3626.9,53.61
2/1/2018 3:30,3614.92,53.13
2/1/2018 4:00,3650.95,53.75
2/1/2018 4:30,3732.8,51.11
2/1/2018 5:00,3855.36,66.34
2/1/2018 5:30,4013.37,67.81
2/1/2018 6:00,4139.52,69.3
2/1/2018 6:30,4350.66,68.97
2/1/2018 7:00,4518.65,77.13
2/1/2018 7:30,4478.97,72.24
2/1/2018 8:00,4549.7,73.57
2/1/2018 8:30,4593.45,77.12
2/1/2018 9:00,4575.37,82.21
2/1/2018 9:30,4578.24,77.9
2/1/2018 10:00,4575,71.6
2/1/2018 10:30,4541.85,73.31
2/1/2018 11:00,4556.91,75.77
2/1/2018 11:30,4611.67,76.87
2/1/2018 12:00,4557.44,78.8
2/1/2018 12:30,4567.95,78.67
2/1/2018 13:00,4592.8,76.94
